,game_date,game_status_text,points_home,points_away,home_team_wins,city_home,nickname_home,city_away,nickname_away
0,2020-12-19,Final,120,117,1,Orlando,Magic,Charlotte,Hornets
1,2020-12-17,Final,115,123,0,Orlando,Magic,Charlotte,Hornets
2,2014-03-28,Final,110,105,1,Orlando,Magic,Charlotte,Hornets
3,2014-01-17,Final,101,111,0,Orlando,Magic,Charlotte,Hornets
4,2013-02-19,Final,92,105,0,Orlando,Magic,Charlotte,Hornets
5,2013-01-18,Final,100,106,0,Orlando,Magic,Charlotte,Hornets
6,2012-04-25,Final,102,95,1,Orlando,Magic,Charlotte,Hornets
7,2012-01-17,Final,96,89,1,Orlando,Magic,Charlotte,Hornets
8,2011-04-01,Final,89,77,1,Orlando,Magic,Charlotte,Hornets
9,2011-02-27,Final,100,86,1,Orlando,Magic,Charlotte,Hornets
10,2010-10-14,Final,86,73,1,Orlando,Magic,Charlotte,Hornets
11,2010-04-21,Final,92,77,1,Orlando,Magic,Charlotte,Hornets
12,2010-04-18,Final,98,89,1,Orlando,Magic,Charlotte,Hornets
13,2010-03-14,Final,89,96,0,Orlando,Magic,Charlotte,Hornets
14,2009-11-16,Final,97,91,1,Orlando,Magic,Charlotte,Hornets
15,2009-04-15,Final,98,73,1,Orlando,Magic,Charlotte,Hornets
16,2009-02-17,Final,107,102,1,Orlando,Magic,Charlotte,Hornets
17,2008-10-08,Final,118,80,1,Orlando,Magic,Charlotte,Hornets
18,2007-12-29,Final,104,95,1,Orlando,Magic,Charlotte,Hornets
19,2007-11-23,Final,105,92,1,Orlando,Magic,Charlotte,Hornets
20,2007-10-10,Final,123,99,1,Orlando,Magic,Charlotte,Hornets
21,2007-01-05,Final,106,74,1,Orlando,Magic,Charlotte,Hornets
22,2006-11-18,Final,97,83,1,Orlando,Magic,Charlotte,Hornets
23,2006-01-07,Final,108,92,1,Orlando,Magic,Charlotte,Hornets
24,2005-11-15,Final,85,77,1,Orlando,Magic,Charlotte,Hornets
25,2005-03-24,Final,94,108,0,Orlando,Magic,Charlotte,Hornets
26,2005-01-07,Final,111,91,1,Orlando,Magic,Charlotte,Hornets
27,2019-02-14,Final,127,89,1,Orlando,Magic,Charlotte,Hornets
28,2018-10-19,Final,88,120,0,Orlando,Magic,Charlotte,Hornets
29,2018-04-06,Final,100,137,0,Orlando,Magic,Charlotte,Hornets
30,2018-02-14,Final,102,104,0,Orlando,Magic,Charlotte,Hornets
31,2017-03-22,Final,102,109,0,Orlando,Magic,Charlotte,Hornets
32,2016-12-28,Final,101,120,0,Orlando,Magic,Charlotte,Hornets
33,2016-01-22,Final,116,120,0,Orlando,Magic,Charlotte,Hornets
34,2015-12-16,Final,113,98,1,Orlando,Magic,Charlotte,Hornets
35,2015-10-03,Final,100,106,0,Orlando,Magic,Charlotte,Hornets
36,2015-03-01,Final,83,98,0,Orlando,Magic,Charlotte,Hornets
37,2015-01-03,Final,90,98,0,Orlando,Magic,Charlotte,Hornets
38,2020-01-30,Final,121,107,1,Washington,Wizards,Charlotte,Hornets
39,2014-04-09,Final,88,94,0,Washington,Wizards,Charlotte,Hornets
40,2014-03-12,Final,85,98,0,Washington,Wizards,Charlotte,Hornets
41,2013-03-09,Final,104,87,1,Washington,Wizards,Charlotte,Hornets
42,2012-11-24,Final,106,108,0,Washington,Wizards,Charlotte,Hornets
43,2012-04-23,Final,101,73,1,Washington,Wizards,Charlotte,Hornets
44,2012-01-25,Final,92,75,1,Washington,Wizards,Charlotte,Hornets
45,2010-12-20,Final,108,75,1,Washington,Wizards,Charlotte,Hornets
46,2010-11-12,Final,85,93,0,Washington,Wizards,Charlotte,Hornets
47,2010-03-23,Final,86,95,0,Washington,Wizards,Charlotte,Hornets
48,2009-11-28,Final,76,92,0,Washington,Wizards,Charlotte,Hornets
49,2009-03-25,Final,95,93,1,Washington,Wizards,Charlotte,Hornets
50,2009-01-10,Final,89,92,0,Washington,Wizards,Charlotte,Hornets
51,2008-03-08,Final,97,100,0,Washington,Wizards,Charlotte,Hornets
52,2008-02-23,Final,110,95,1,Washington,Wizards,Charlotte,Hornets
53,2007-04-04,Final,100,108,0,Washington,Wizards,Charlotte,Hornets
54,2006-12-01,Final,121,109,1,Washington,Wizards,Charlotte,Hornets
55,2006-03-15,Final,107,99,1,Washington,Wizards,Charlotte,Hornets
56,2006-01-28,Final,107,97,1,Washington,Wizards,Charlotte,Hornets
57,2005-10-20,Final,96,89,1,Washington,Wizards,Charlotte,Hornets
58,2005-04-17,Final,106,104,1,Washington,Wizards,Charlotte,Hornets
59,2004-12-27,Final,106,87,1,Washington,Wizards,Charlotte,Hornets
60,2004-10-24,Final,97,85,1,Washington,Wizards,Charlotte,Hornets
61,2019-11-22,Final,125,118,1,Washington,Wizards,Charlotte,Hornets
62,2019-03-15,Final,110,116,0,Washington,Wizards,Charlotte,Hornets
63,2018-12-29,Final,130,126,1,Washington,Wizards,Charlotte,Hornets
64,2018-03-31,Final,107,93,1,Washington,Wizards,Charlotte,Hornets
65,2018-02-23,Final,105,122,0,Washington,Wizards,Charlotte,Hornets
66,2017-04-04,Final,118,111,1,Washington,Wizards,Charlotte,Hornets
67,2016-12-14,Final,109,106,1,Washington,Wizards,Charlotte,Hornets
68,2016-04-10,Final,113,98,1,Washington,Wizards,Charlotte,Hornets
69,2015-12-19,Final,109,101,1,Washington,Wizards,Charlotte,Hornets
70,2015-03-27,Final,110,107,1,Washington,Wizards,Charlotte,Hornets
71,2015-02-02,Final,88,92,0,Washington,Wizards,Charlotte,Hornets
72,2014-10-17,Final,86,96,0,Washington,Wizards,Charlotte,Hornets
73,2019-12-29,Final,117,104,1,Memphis,Grizzlies,Charlotte,Hornets
74,2014-03-08,Final,111,89,1,Memphis,Grizzlies,Charlotte,Hornets
75,2013-04-09,Final,94,75,1,Memphis,Grizzlies,Charlotte,Hornets
76,2010-12-15,Final,113,80,1,Memphis,Grizzlies,Charlotte,Hornets
77,2010-02-26,Final,89,93,0,Memphis,Grizzlies,Charlotte,Hornets
78,2008-12-19,Final,83,112,0,Memphis,Grizzlies,Charlotte,Hornets
79,2008-10-10,Final,92,79,1,Memphis,Grizzlies,Charlotte,Hornets
80,2008-03-17,Final,98,80,1,Memphis,Grizzlies,Charlotte,Hornets
81,2006-11-03,Final,96,83,1,Memphis,Grizzlies,Charlotte,Hornets
82,2006-03-26,Final,102,95,1,Memphis,Grizzlies,Charlotte,Hornets
83,2005-04-10,Final,102,95,1,Memphis,Grizzlies,Charlotte,Hornets
84,2019-10-14,Final,99,120,0,Memphis,Grizzlies,Charlotte,Hornets
85,2019-01-23,Final,107,118,0,Memphis,Grizzlies,Charlotte,Hornets
86,2017-10-30,Final,99,104,0,Memphis,Grizzlies,Charlotte,Hornets
87,2016-11-28,Final,85,104,0,Memphis,Grizzlies,Charlotte,Hornets
88,2015-12-11,Final,99,123,0,Memphis,Grizzlies,Charlotte,Hornets
89,2014-12-12,Final,113,107,1,Memphis,Grizzlies,Charlotte,Hornets
90,2020-02-25,Final,119,80,1,Indiana,Pacers,Charlotte,Hornets
91,2019-12-15,Final,107,85,1,Indiana,Pacers,Charlotte,Hornets
92,2013-12-13,Final,99,94,1,Indiana,Pacers,Charlotte,Hornets
93,2013-02-13,Final,101,77,1,Indiana,Pacers,Charlotte,Hornets
94,2013-01-12,Final,96,88,1,Indiana,Pacers,Charlotte,Hornets
95,2012-02-19,Final,108,73,1,Indiana,Pacers,Charlotte,Hornets
96,2012-01-07,Final,99,77,1,Indiana,Pacers,Charlotte,Hornets
97,2011-02-09,Final,104,103,1,Indiana,Pacers,Charlotte,Hornets
98,2010-12-10,Final,100,92,1,Indiana,Pacers,Charlotte,Hornets
99,2010-03-16,Final,99,94,1,Indiana,Pacers,Charlotte,Hornets
100,2009-12-16,Final,101,98,1,Indiana,Pacers,Charlotte,Hornets
101,2009-01-25,Final,98,93,1,Indiana,Pacers,Charlotte,Hornets
102,2008-11-28,Final,108,115,0,Indiana,Pacers,Charlotte,Hornets
103,2008-04-12,Final,103,107,0,Indiana,Pacers,Charlotte,Hornets
104,2008-03-19,Final,102,95,1,Indiana,Pacers,Charlotte,Hornets
105,2006-12-30,Final,102,113,0,Indiana,Pacers,Charlotte,Hornets
106,2006-10-19,Final,109,96,1,Indiana,Pacers,Charlotte,Hornets
107,2006-01-18,Final,98,92,1,Indiana,Pacers,Charlotte,Hornets
108,2005-11-18,Final,93,85,1,Indiana,Pacers,Charlotte,Hornets
109,2005-02-09,Final,94,87,1,Indiana,Pacers,Charlotte,Hornets
110,2004-11-26,Final,82,77,1,Indiana,Pacers,Charlotte,Hornets
111,2019-02-11,Final,99,90,1,Indiana,Pacers,Charlotte,Hornets
112,2019-01-20,Final,120,95,1,Indiana,Pacers,Charlotte,Hornets
113,2018-04-10,Final,93,119,0,Indiana,Pacers,Charlotte,Hornets
114,2018-01-29,Final,105,96,1,Indiana,Pacers,Charlotte,Hornets
115,2017-03-15,Final,98,77,1,Indiana,Pacers,Charlotte,Hornets
